Região,UF,Município,IFDM,Educação,Saúde,Emprego & Renda,codigo_ibge
Nordeste,CE,Limoeiro do Norte,"0,6682","0,7710","0,6193","0,6142",2307601
Sudeste,RJ,Itaocara,"0,6682","0,7105","0,7214","0,5728",3302106
Sul,PR,Guairaçá,"0,6681","0,6724","0,5467","0,7852",4108908
Sul,PR,Terra Roxa,"0,6681","0,7813","0,4817","0,7413",4127403
Nordeste,RN,Acari,"0,6679","0,7359","0,7424","0,5253",2400109
Sudeste,MG,Baldim,"0,6679","0,6147","0,6763","0,7128",3105004
Centro-Oeste,MT,Paranaíta,"0,6679","0,7141","0,5625","0,7271",5106299
Sudeste,RJ,Mangaratiba,"0,6678","0,6241","0,6226","0,7568",3302601
Sul,RS,São João do Polêsine,"0,6678","0,5926","0,5887","0,8222",4318432
Sudeste,MG,Itamonte,"0,6677","0,5890","0,6849","0,7293",3133006
Sudeste,MG,São João da Mata,"0,6677","0,7294","0,7109","0,5629",3162302
Sudeste,SP,Santa Rita d'Oeste,"0,6677","0,8559","0,6566","0,4905",3547403
Sul,SC,Mirim Doce,"0,6677","0,7023","0,4967","0,8041",4210852
Sul,RS,Barra do Ribeiro,"0,6677","0,5150","0,6726","0,8155",4301909
Sudeste,MG,Araçuaí,"0,6675","0,6696","0,7069","0,6260",3103405
Sul,PR,Ribeirão do Pinhal,"0,6675","0,8310","0,6343","0,5372",4121901
Sul,SC,Nova Itaberaba,"0,6675","0,6599","0,5804","0,7621",4211454
Sul,SC,Atalanta,"0,6673","0,7358","0,4862","0,7798",4201802
Sul,PR,Lupionópolis,"0,6671","0,7463","0,5453","0,7096",4113809
Sul,RS,Nonoai,"0,6671","0,6299","0,6492","0,7223",4312708
Sudeste,RJ,Aperibé,"0,6670","0,7228","0,6445","0,6338",3300159
Nordeste,PE,Camutanga,"0,6669","0,6542","0,6724","0,6741",2603603
Sudeste,SP,Campina do Monte Alegre,"0,6669","0,7362","0,6810","0,5835",3509452
Centro-Oeste,GO,Paraúna,"0,6669","0,5684","0,6316","0,8008",5216403
Nordeste,PB,Cajazeiras,"0,6668","0,6834","0,7321","0,5850",2503704
Sudeste,MG,Rio Paranaíba,"0,6668","0,6108","0,4358","0,9537",3155504
Sudeste,SP,Nova Canaã Paulista,"0,6667","0,8550","0,6773","0,4677",3532843
Sul,SC,Santa Cecília,"0,6666","0,5873","0,4732","0,9392",4215505
Centro-Oeste,GO,São Simão,"0,6666","0,5737","0,6066","0,8195",5220405
Sudeste,SP,Salto Grande,"0,6665","0,6833","0,6169","0,6994",3545407
Centro-Oeste,GO,Adelândia,"0,6664","0,5926","0,6768","0,7299",5200159
Sudeste,MG,São Gonçalo do Rio Preto,"0,6663","0,7890","0,7576","0,4522",3125507
Centro-Oeste,MS,Itaquiraí,"0,6663","0,5100","0,5892","0,8996",5004601
Nordeste,CE,Aracoiaba,"0,6662","0,8028","0,7171","0,4786",2301208
Sudeste,MG,Santana do Jacaré,"0,6662","0,7719","0,6500","0,5767",3158805
Sudeste,MG,São Sebastião do Rio Preto,"0,6662","0,7695","0,6904","0,5386",3164803
Nordeste,CE,Cruz,"0,6661","0,8014","0,7039","0,4930",2304251
Sul,PR,Esperança Nova,"0,6659","0,7527","0,6331","0,6120",4107520
Centro-Oeste,MT,Denise,"0,6657","0,6326","0,6936","0,6710",5103452
Nordeste,CE,Forquilha,"0,6656","0,8384","0,7022","0,4562",2304350
Sudeste,MG,Conceição do Pará,"0,6655","0,5197","0,6720","0,8048",3117603
Sul,SC,Abdon Batista,"0,6655","0,6400","0,7156","0,6408",4200051
Sul,RS,Silveira Martins,"0,6655","0,6184","0,7019","0,6763",4320651
Nordeste,CE,Aracati,"0,6654","0,7891","0,6658","0,5414",2301109
